# X	Y0	Y1
Y2
Y3
96	0.0035293333333333335	0.00028966666666666664	0.0011296666666666666	0.0010733333333333333
192	0.028401	0.0027606666666666665	0.023115999999999998	0.008567333333333333
288	0.09759566666666668	0.010681333333333334	0.074976	0.029636
384	0.24727900000000003	0.027031333333333334	0.36718133333333336	0.06978933333333333
480	0.49855333333333335	0.05363233333333334	0.3595553333333334	0.13693933333333333
576	0.8519963333333332	0.09697366666666667	0.872365	0.23355
672	1.460203	0.20292033333333329	1.2480173333333333	0.3760036666666666
768	2.308881	0.37351566666666663	3.7990693333333336	0.584642
864	3.3282993333333333	0.562104	3.3233113333333333	0.8018263333333334
960	4.408622333333333	0.8003646666666667	6.602145666666668	1.1238176666666666
1056	5.883184333333333	1.1203183333333333	8.503188	1.461297
