# X	Y0	Y1
1	0.000589	0.00032533333333333334
2	0.001097	0.0006680000000000001
3	0.0021736666666666666	0.001227333333333333
4	0.004330333333333333	0.002434
5	0.008735	0.004844666666666667
6	0.017425333333333334	0.009831666666666667
7	0.034930666666666665	0.019469
8	0.06982433333333334	0.03967233333333334
9	0.13959233333333335	0.07815366666666666
10	0.278978	0.155194
11	0.5570776666666667	0.30943633333333337
12	1.1144676666666666	0.6137966666666667
13	2.200644666666667	1.224305
14	4.401374666666666	2.4505363333333334
15	8.856347666666666	4.932521
