# X	Y0	Y1
1024	0.010204	0.002333
1536	0.02054	0.005031
2048	0.048989666666666674	0.010384
2560	0.067669	0.016089333333333334
3072	0.12022133333333333	0.023119333333333335
3584	0.15044866666666667	0.03231233333333333
4096	0.22755166666666668	0.04353233333333333
4608	0.25637233333333337	0.053344
5120	0.37186199999999997	0.06519233333333334
5632	0.3974713333333333	0.07656333333333333
6144	0.5491593333333333	0.09464299999999999
6656	0.5682576666666667	0.11287566666666667
7168	0.7498123333333333	0.13332333333333335
7680	0.8469510000000001	0.150716
8192	1.0386526666666667	0.191559
8704	1.1802570000000001	0.196311
9216	1.3292173333333333	0.22126833333333332
9728	1.5237189999999998	0.24262433333333333
