# X	Y0	Y1
1024	0.010119333333333334	0.006162
1536	0.01990233333333333	0.010455333333333336
2048	0.04887133333333333	0.024071
2560	0.06768166666666667	0.029441
3072	0.119676	0.05568499999999999
3584	0.1466876666666667	0.059228333333333334
4096	0.22531733333333334	0.09465566666666668
4608	0.2564093333333333	0.09331466666666667
5120	0.37203433333333336	0.153365
5632	0.39285366666666666	0.143139
6144	0.529827	0.21895733333333334
6656	0.5948416666666666	0.19873366666666667
7168	0.7662516666666667	0.2966456666666667
7680	0.8394613333333334	0.26327466666666666
8192	1.0529753333333334	0.3579933333333334
8704	1.160075	0.3402986666666667
9216	1.3252180000000002	0.49567500000000003
9728	1.497283333333333	0.433452
