# X	Y0	Y1
1	0.00020866666666666668	0.00013833333333333333
2	0.00033433333333333335	0.00021166666666666664
3	0.0006803333333333332	0.00036233333333333327
4	0.00117	0.0006256666666666666
5	0.0022463333333333333	0.001268
6	0.0049436666666666665	0.002442666666666667
7	0.008655000000000001	0.004903
8	0.01759733333333333	0.009666333333333334
9	0.03492766666666666	0.01951433333333333
10	0.07064966666666667	0.04128266666666667
11	0.14074733333333334	0.07724233333333333
12	0.2788813333333333	0.15460300000000002
13	0.5570539999999999	0.30945433333333333
14	1.1053103333333334	0.6121193333333333
15	2.20109	1.2231623333333335
