# X	Y0	Y1
Y2
Y3
96	0.003513	0.00029	0.0011913333333333333	0.0010313333333333335
192	0.02823133333333333	0.0027963333333333334	0.022799333333333335	0.008225333333333333
288	0.09614099999999999	0.010471666666666666	0.07401766666666666	0.027698333333333335
384	0.23623466666666668	0.025717	0.36708766666666665	0.07100133333333333
480	0.484731	0.049821666666666674	0.3555743333333334	0.13037
576	0.8356126666666667	0.11158333333333333	0.8769693333333333	0.224417
672	1.4549483333333333	0.22009599999999999	1.296587	0.3594026666666667
768	2.371433666666667	0.37548633333333337	3.867570666666667	0.5317026666666668
864	3.343024	0.5990446666666667	3.429864333333333	0.7587259999999999
960	4.442929666666667	0.867042	6.547090666666667	1.1858996666666666
1056	6.236127333333333	1.3153846666666666	9.041226333333334	1.377995
