# X	Y0	Y1
48	5.3333333333333345e-06	5e-06
56	6e-06	7e-06
64	6e-06	6.6666666666666675e-06
72	9e-06	1.0333333333333333e-05
80	7.666666666666666e-06	1.0333333333333333e-05
88	1.2333333333333333e-05	1.4e-05
96	1.0666666666666669e-05	1.3333333333333332e-05
104	1.6e-05	1.8e-05
112	1.3e-05	1.5666666666666667e-05
120	1.9666666666666666e-05	2.4e-05
128	4.6666666666666665e-05	2.2000000000000003e-05
136	2.5333333333333334e-05	3.1e-05
144	2.0666666666666666e-05	2.7333333333333335e-05
152	3.433333333333334e-05	3.6666666666666666e-05
160	2.7000000000000002e-05	3.233333333333333e-05
168	3.8e-05	4.666666666666667e-05
176	3.0333333333333333e-05	4.5e-05
184	4.966666666666666e-05	5.7e-05
192	0.00010033333333333334	5.133333333333333e-05
200	6.133333333333334e-05	6.766666666666667e-05
208	4.366666666666667e-05	5.6999999999999996e-05
216	6.9e-05	7.766666666666667e-05
224	6.166666666666667e-05	6.5e-05
232	8.466666666666666e-05	8.933333333333334e-05
240	5.9e-05	7.333333333333333e-05
248	9.733333333333333e-05	0.00010466666666666666
256	0.000262	0.00010033333333333335
264	0.00011333333333333333	0.00011266666666666666
272	8.733333333333332e-05	9.633333333333332e-05
280	0.00012666666666666666	0.00012933333333333332
288	0.00021933333333333332	0.00011233333333333333
296	0.00014866666666666666	0.000156
304	0.000118	0.00012266666666666668
312	0.000314	0.00017566666666666666
320	0.000279	0.00013933333333333332
328	0.00019266666666666664	0.000177
336	0.00016766666666666666	0.00017
344	0.00021033333333333334	0.00019666666666666669
352	0.00034333333333333335	0.00018033333333333334
360	0.00025299999999999997	0.00021933333333333332
368	0.00018633333333333335	0.00019433333333333333
376	0.0002553333333333333	0.00022333333333333333
384	0.000408	0.00022966666666666667
392	0.00027666666666666665	0.00024566666666666666
400	0.00023033333333333334	0.00022666666666666666
408	0.0003433333333333333	0.00027200000000000005
416	0.00048466666666666667	0.0002593333333333333
424	0.000323	0.00027333333333333333
432	0.00027	0.000256
440	0.00045333333333333337	0.0002873333333333333
448	0.0005830000000000001	0.00027633333333333335
456	0.0005216666666666667	0.000307
464	0.0004026666666666667	0.00030033333333333333
472	0.0006073333333333333	0.00033233333333333335
480	0.000656	0.00031966666666666667
488	0.000669	0.00035200000000000005
496	0.0006873333333333333	0.00033833333333333334
504	0.0008046666666666666	0.00037533333333333326
512	0.0015573333333333333	0.0004313333333333333
520	0.0009033333333333334	0.00042899999999999997
528	0.0008013333333333333	0.0004066666666666667
536	0.000886	0.00042300000000000004
544	0.000856	0.0004213333333333334
552	0.0008923333333333334	0.0004493333333333333
560	0.0008463333333333334	0.0005539999999999999
568	0.0009693333333333333	0.0005073333333333333
576	0.001024	0.0004756666666666667
584	0.0010596666666666667	0.0005223333333333334
592	0.000985	0.0005296666666666667
600	0.0010733333333333335	0.0005533333333333333
608	0.0011106666666666667	0.0005386666666666666
616	0.0011486666666666668	0.000595
624	0.0010966666666666666	0.0005906666666666667
632	0.001158	0.000593
640	0.0016759999999999998	0.0006903333333333333
648	0.001183	0.0006336666666666666
656	0.0011916666666666666	0.0006493333333333334
664	0.0012616666666666668	0.0007
672	0.0013426666666666667	0.0007263333333333335
680	0.0013373333333333334	0.0007113333333333333
688	0.0013366666666666666	0.0007063333333333334
696	0.0014083333333333333	0.0007416666666666666
704	0.0015496666666666669	0.0007526666666666667
712	0.0014383333333333331	0.000816
720	0.0014806666666666666	0.0008163333333333333
728	0.0015533333333333334	0.0008496666666666666
736	0.0015556666666666664	0.0007883333333333333
744	0.001606	0.0008683333333333333
752	0.001609	0.0008489999999999999
760	0.0016876666666666665	0.0009156666666666667
768	0.0030033333333333335	0.0009956666666666666
776	0.001747	0.000899
784	0.0017386666666666668	0.0008903333333333334
792	0.0017773333333333332	0.0010003333333333333
800	0.001837666666666667	0.0008749999999999999
808	0.001864	0.0009646666666666666
816	0.0019110000000000002	0.0009203333333333334
824	0.001939	0.0010093333333333332
832	0.001975666666666667	0.0009653333333333333
840	0.002049	0.0011463333333333334
848	0.0021316666666666667	0.0010186666666666666
856	0.002139333333333333	0.0010926666666666665
864	0.0021709999999999998	0.0010066666666666668
872	0.0022143333333333333	0.0011316666666666667
880	0.0023153333333333333	0.001018
888	0.0023003333333333335	0.001194
896	0.003612	0.0014249999999999998
904	0.002348	0.0012463333333333335
912	0.0023866666666666667	0.0011516666666666665
920	0.0024923333333333334	0.001319
928	0.002577	0.001272
936	0.0028303333333333327	0.001431333333333333
944	0.002578	0.0012513333333333335
952	0.0026006666666666665	0.0014013333333333334
960	0.0026269999999999996	0.0014836666666666668
968	0.002754333333333333	0.0014793333333333334
976	0.002891666666666667	0.0014293333333333335
984	0.002858	0.0015706666666666666
992	0.002878666666666667	0.0013883333333333334
